Legs,Contract Type,Strike,Expiry,Size Ratio,Side,Strategy Name,View,Short Strategy Name
1 ,C,N,N,1,A,LONG CALL,,CALL
1 ,C,N,N,1,-A,SHORT CALL,,CALL
1 ,P,N,N,1,A,LONG PUT,,PUT
1 ,P,N,N,1,-A,SHORT PUT,,PUT
2 ,F,N,N,N,N,FUTURES SPREAD,,SPREAD
2,C,A<B,A=B,1:1,A-B,LONG CALL SPREAD,🐮 Spot,CALL SPREAD
2,C,A<B,A=B,1:1,-A+B,SHORT CALL SPREAD,🐻 Spot,CALL SPREAD
2,C,A<B,A=B,1:N,A-B,LONG CALL RATIO SPREAD,🐮 Spot,CALL RATIO SPREAD
2,C,A<B,A=B,1:N,-A+B,SHORT CALL RATIO SPREAD,🐻 Spot,CALL RATIO SPREAD
2,C,A<B,A>B,1:1,A-B,LONG CALL DIAGONAL SPREAD,🐮 Spot 🐮 Vol,CALL DIAGONAL SPREAD
2,C,A<B,A>B,1:1,-A+B,SHORT CALL DIAGONAL SPREAD,🐻 Spot 🐻 Vol,CALL DIAGONAL SPREAD
2,C,A<B,A<B,1:1,-A+B,LONG CALL DIAGONAL SPREAD,🐻 Spot 🐮 Vol,CALL DIAGONAL SPREAD
2,C,A<B,A<B,1:1,A-B,SHORT CALL DIAGONAL SPREAD,🐮 Spot 🐻 Vol,CALL DIAGONAL SPREAD
2,C,A=B,A<B,1:1,-A+B,LONG CALL CALENDAR SPREAD,,CALL CALENDAR SPREAD
2,C,A=B,A>B,1:1,A-B,LONG CALL CALENDAR SPREAD,,CALL CALENDAR SPREAD
2,C,A=B,A<B,1:1,A-B,SHORT CALL CALENDAR SPREAD,,CALL CALENDAR SPREAD
2,C,A=B,A>B,1:1,-A+B,SHORT CALL CALENDAR SPREAD,,CALL CALENDAR SPREAD
2,P,A<B,A=B,1:1,-A+B,LONG PUT SPREAD,🐻 Spot,PUT SPREAD
2,P,A<B,A=B,1:1,A-B,SHORT PUT SPREAD,🐮 Spot,PUT SPREAD
2,P,A<B,A=B,N:1,-A+B,LONG PUT RATIO SPREAD,🐻 Spot,PUT RATIO SPREAD
2,P,A<B,A=B,N:1,A-B,SHORT PUT RATIO SPREAD,🐮 Spot,PUT RATIO SPREAD
2,P,A=B,A<B,1:1,-A+B,LONG PUT CALENDAR SPREAD,,PUT CALENDAR SPREAD
2,P,A=B,A>B,1:1,A-B,LONG PUT CALENDAR SPREAD,,PUT CALENDAR SPREAD
2,P,A=B,A<B,1:1,A-B,SHORT PUT CALENDAR SPREAD,,PUT CALENDAR SPREAD
2,P,A=B,A>B,1:1,-A+B,SHORT PUT CALENDAR SPREAD,,PUT CALENDAR SPREAD
2,P,A<B,A<B,1:1,-A+B,LONG PUT DIAGONAL SPREAD,🐻 Spot 🐮 Vol,PUT DIAGONAL SPREAD
2,P,A<B,A<B,1:1,A-B,SHORT PUT DIAGONAL SPREAD,🐮 Spot 🐻 Vol,PUT DIAGONAL SPREAD
2,P,A<B,A>B,1:1,A-B,LONG PUT DIAGONAL SPREAD,🐮 Spot 🐮 Vol,PUT DIAGONAL SPREAD
2,P,A<B,A>B,1:1,-A+B,SHORT PUT DIAGONAL SPREAD,🐻 Spot 🐻 Vol,PUT DIAGONAL SPREAD
2,PC,A=B,A=B,1:1,A+B,LONG STRADDLE,🐮 Vol,STRADDLE
2,PC,A=B,A=B,1:1,-A-B,SHORT STRADDLE,🐻 Vol,STRADDLE
2,PC,A<B,A=B,1:1,A+B,LONG STRANGLE,🐮 Vol,STRANGLE
2,PC,A<B,A=B,1:1,-A-B,SHORT STRANGLE,🐻 Vol,STRANGLE
2,PC,A<B,A=B,1:1,A-B,LONG RISK REVERSAL,🐻 Spot,RISK REVERSAL
2,PC,A<B,A=B,1:1,-A+B,SHORT RISK REVERSAL,🐮 Spot,RISK REVERSAL
2,PC,A=B,A=B,1:1,-A+B,LONG SYNTHETIC FUTURES,🐮 Spot,SYNTHETIC FUTURES
2,PC,A=B,A=B,1:1,A-B,SHORT SYNTHETIC FUTURES,🐻 Spot,SYNTHETIC FUTURES
3,C,A<B<C,A=B=C,1:2:1,A-B+C,LONG CALL BUTTERFLY,🐻 Vol,CALL BUTTERFLY
3,C,A<B<C,A=B=C,1:2:1,-A+B-C,SHORT CALL BUTTERFLY,🐮 Vol,CALL BUTTERFLY
3,P,A<B<C,A=B=C,1:2:1,A-B+C,LONG PUT BUTTERFLY,🐻 Vol,PUT BUTTERFLY
3,P,A<B<C,A=B=C,1:2:1,-A+B-C,SHORT PUT BUTTERFLY,🐮 Vol,PUT BUTTERFLY
4,C,A<B<C<D,A=B=C=D,1:1:1:1,A-B-C+D,LONG CALL CONDOR,🐻 Vol,CALL CONDOR
4,C,A<B<C<D,A=B=C=D,1:1:1:1,-A+B+C-D,SHORT CALL CONDOR,🐮 Vol,CALL CONDOR
4,P,A<B<C<D,A=B=C=D,1:1:1:1,A-B-C+D,LONG PUT CONDOR,🐻 Vol,PUT CONDOR
4,P,A<B<C<D,A=B=C=D,1:1:1:1,-A+B+C-D,SHORT PUT CONDOR,🐮 Vol,PUT CONDOR
4,PPCC,A<B<C<D,A=B=C=D,1:1:1:1,A-B-C+D,LONG IRON CONDOR,🐻 Vol,IRON CONDOR
4,PPCC,A<B<C<D,A=B=C=D,1:1:1:1,-A+B+C-D,SHORT IRON CONDOR,🐮 Vol,IRON CONDOR
4,PPCC,A<B=C<D,A=B=C=D,1:1:1:1,A-B-C+D,LONG BUTTERFLY,🐻 Vol,BUTTERFLY
4,PPCC,A<B=C<D,A=B=C=D,1:1:1:1,-A+B+C-D,SHORT BUTTERFLY,🐮 Vol,BUTTERFLY
